symbol,price,daily_change_pct,realised_vol_ann,atr_pct,rsi_14,vwap_dist_pct,vol_z_30,mom_20,ema_trend,regime,recommended_strategy
AAPLx,232.8972,0.03114,0.3003,0.00388,41.66,0.00621,1.58,-0.0021,up,range,vwap_pullback
TSLAx,344.9091,0.03374,0.5603,0.00591,58.78,0.01445,0.15,0.00903,up,range,vwap_pullback
NVDAx,131.6638,0.0185,0.5211,0.00605,54.63,0.01021,0.31,0.00555,up,trend,vwap_pullback
MSFTx,371.9889,-0.00945,0.273,0.00336,41.7,-0.00703,-0.15,-0.00833,down,range,rsi_mean_reversion
SPYx,528.1742,-0.00115,0.1739,0.00221,53.91,-0.00046,0.16,0.00309,range,range,rsi_mean_reversion
